game_id,date,away,home
22500001,Oct 21 2025,HOU,OKC
22500002,Oct 21 2025,GSW,LAL
22500003,Oct 22 2025,CLE,NYK
22500004,Oct 22 2025,SAS,DAL
22500080,Oct 22 2025,BKN,CHA
22500081,Oct 22 2025,MIA,ORL
22500082,Oct 22 2025,TOR,ATL
22500083,Oct 22 2025,PHI,BOS
22500084,Oct 22 2025,DET,CHI
22500085,Oct 22 2025,NOP,MEM
22500086,Oct 22 2025,WAS,MIL
22500087,Oct 22 2025,LAC,UTA
22500088,Oct 22 2025,SAC,PHX
22500089,Oct 22 2025,MIN,POR
22500005,Oct 23 2025,OKC,IND
22500006,Oct 23 2025,DEN,GSW
22500018,Oct 24 2025,BOS,NYK
22500019,Oct 24 2025,MIN,LAL
22500090,Oct 24 2025,ATL,ORL
22500091,Oct 24 2025,CLE,BKN
22500092,Oct 24 2025,MIL,TOR
22500093,Oct 24 2025,DET,HOU
22500094,Oct 24 2025,MIA,MEM
22500095,Oct 24 2025,SAS,NOP
22500096,Oct 24 2025,WAS,DAL
22500097,Oct 24 2025,GSW,POR
22500098,Oct 24 2025,UTA,SAC
22500099,Oct 24 2025,PHX,LAC
22500100,Oct 25 2025,CHI,ORL
22500101,Oct 25 2025,OKC,ATL
22500102,Oct 25 2025,CHA,PHI
22500103,Oct 25 2025,IND,MEM
22500104,Oct 25 2025,PHX,DEN
22500105,Oct 26 2025,BKN,SAS
22500106,Oct 26 2025,BOS,DET
22500107,Oct 26 2025,MIL,CLE
22500108,Oct 26 2025,NYK,MIA
22500109,Oct 26 2025,CHA,WAS
22500110,Oct 26 2025,IND,MIN
22500111,Oct 26 2025,TOR,DAL
22500112,Oct 26 2025,POR,LAC
22500113,Oct 26 2025,LAL,SAC
22500007,Oct 27 2025,CLE,DET
22500008,Oct 27 2025,DEN,MIN
22500114,Oct 27 2025,ORL,PHI
22500115,Oct 27 2025,ATL,CHI
22500116,Oct 27 2025,BKN,HOU
22500117,Oct 27 2025,BOS,NOP
22500118,Oct 27 2025,TOR,SAS
22500119,Oct 27 2025,OKC,DAL
22500120,Oct 27 2025,PHX,UTA
22500121,Oct 27 2025,MEM,GSW
22500122,Oct 27 2025,POR,LAL
22500123,Oct 28 2025,PHI,WAS
22500124,Oct 28 2025,CHA,MIA
22500125,Oct 28 2025,NYK,MIL
22500126,Oct 28 2025,SAC,OKC
22500127,Oct 28 2025,LAC,GSW
22500128,Oct 29 2025,CLE,BOS
22500129,Oct 29 2025,ORL,DET
22500130,Oct 29 2025,ATL,BKN
22500131,Oct 29 2025,HOU,TOR
22500132,Oct 29 2025,SAC,CHI
22500133,Oct 29 2025,IND,DAL
22500134,Oct 29 2025,NOP,DEN
22500135,Oct 29 2025,POR,UTA
22500136,Oct 29 2025,LAL,MIN
22500137,Oct 29 2025,MEM,PHX
22500138,Oct 30 2025,ORL,CHA
22500139,Oct 30 2025,GSW,MIL
22500140,Oct 30 2025,WAS,OKC
22500141,Oct 30 2025,MIA,SAS
22500020,Oct 31 2025,ATL,IND
22500021,Oct 31 2025,BOS,PHI
22500022,Oct 31 2025,TOR,CLE
22500023,Oct 31 2025,NYK,CHI
22500024,Oct 31 2025,LAL,MEM
22500025,Oct 31 2025,UTA,PHX
22500026,Oct 31 2025,DEN,POR
22500027,Oct 31 2025,NOP,LAC
22500142,Nov 1 2025,SAC,MIL
22500143,Nov 1 2025,MIN,CHA
22500144,Nov 1 2025,GSW,IND
22500145,Nov 1 2025,ORL,WAS
22500146,Nov 1 2025,HOU,BOS
22500147,Nov 1 2025,DAL,DET
22500148,Nov 2 2025,NOP,OKC
22500149,Nov 2 2025,PHI,BKN
22500150,Nov 2 2025,UTA,CHA
22500151,Nov 2 2025,ATL,CLE
22500152,Nov 2 2025,MEM,TOR
22500153,Nov 2 2025,CHI,NYK
22500154,Nov 2 2025,SAS,PHX
22500155,Nov 2 2025,MIA,LAL
22500156,Nov 3 2025,MIN,BKN
22500157,Nov 3 2025,MIL,IND
22500158,Nov 3 2025,UTA,BOS
22500159,Nov 3 2025,WAS,NYK
22500160,Nov 3 2025,DAL,HOU
22500161,Nov 3 2025,DET,MEM
22500162,Nov 3 2025,SAC,DEN
22500163,Nov 3 2025,LAL,POR
22500164,Nov 3 2025,MIA,LAC
22500165,Nov 4 2025,MIL,TOR
22500166,Nov 4 2025,ORL,ATL
22500167,Nov 4 2025,PHI,CHI
22500168,Nov 4 2025,CHA,NOP
22500169,Nov 4 2025,PHX,GSW
22500170,Nov 4 2025,OKC,LAC
22500171,Nov 5 2025,PHI,CLE
22500172,Nov 5 2025,UTA,DET
22500173,Nov 5 2025,BKN,IND
22500174,Nov 5 2025,WAS,BOS
22500175,Nov 5 2025,MIN,NYK
22500176,Nov 5 2025,HOU,MEM
22500177,Nov 5 2025,NOP,DAL
22500178,Nov 5 2025,MIA,DEN
